one,two,three,four,key
-0.514163,-0.396886,0.012620,1.016251,V
-0.594022,-1.938834,-0.134172,-0.436752,U
-0.023463,-0.561158,0.777561,2.250201,R
-0.291193,0.183518,0.265535,0.120555,V
-0.535132,-1.675854,1.261831,-0.896808,I
-1.922505,0.905895,0.357807,0.049564,L
1.540418,0.151846,0.135702,1.332158,Y
-2.256292,0.940699,-0.445148,0.364347,Z
0.015789,0.889974,0.425234,0.085281,E
-0.047300,2.387808,-0.560493,1.593217,D
1.583486,-0.463781,1.384524,0.806991,C
-0.135356,1.748576,0.465947,-0.294710,C
0.483030,0.292426,0.111525,-0.079720,G
-0.750657,-0.450946,-1.924200,-1.071937,R
-0.512248,-0.602209,0.450697,0.113448,Z
0.802897,0.019932,-0.179594,1.240116,X
1.077356,-1.669757,1.440560,-0.280748,A
-1.138840,0.221598,-0.789763,-0.671723,A
-1.170320,0.551265,0.488508,-1.538969,A
0.323789,-1.563630,-2.758112,1.090755,H
-0.635741,-1.278062,-0.564640,0.048144,Q
0.294863,-1.142244,2.199042,-0.019921,W
1.664326,0.749885,-1.167213,0.800899,U
-0.011634,0.832605,1.125055,0.059800,Z
1.246117,0.532011,-1.102867,0.056089,A
1.186407,-0.241648,0.459957,-1.016281,X
0.796456,-0.385270,-2.233136,-0.067141,N
0.793435,-1.388767,0.434291,-0.915908,Z
0.027767,0.446903,1.467780,-0.312740,V
0.004115,-1.044424,0.634762,-1.739853,Z
-1.378779,-0.402020,-1.138886,-0.141455,V
1.068509,0.341340,-0.454854,-0.546956,S
-0.528765,-0.943877,0.642181,-0.812555,R
1.660847,1.361296,0.523323,0.598277,L
1.075819,-0.419311,1.584953,1.207889,X
-0.731532,-0.117432,0.116000,-0.366876,P
1.197117,2.941932,1.728164,0.738804,G
-0.646582,-0.598717,2.221096,1.184667,F
-1.788566,0.419304,2.254091,-0.250878,Y
2.774236,0.153279,1.170403,-0.067329,V
-0.295385,-3.135989,-1.061827,-0.185675,H
-0.712655,2.390512,0.130086,0.096278,M
-1.701193,0.024678,0.409215,-0.415247,H
0.581491,-0.026940,2.546592,0.358649,P
-0.366644,-1.034124,0.814827,0.390332,E
-0.189685,0.510670,-0.340677,-0.200944,T
0.411035,-0.165014,0.275161,0.898220,B
-0.301880,0.331283,0.706820,-0.009635,K
-0.790088,0.933703,0.412353,0.421116,T
-0.060192,-0.121995,0.622748,2.400670,U
-0.636444,-1.127629,-1.750594,0.088842,Q
-2.651594,-0.396374,-0.862797,1.050795,L
-0.889575,-1.890358,-0.110730,0.113560,S
0.665819,0.109014,0.537889,-1.131015,S
-2.087495,1.710856,1.509145,-0.708739,D
1.385741,-1.267695,-0.014698,-1.557912,S
1.460660,-0.726987,0.036348,1.407063,P
-1.503970,-0.537345,0.870092,1.660080,F
-1.184908,-0.491541,0.143675,0.721617,N
-0.128371,-0.873302,-0.301628,-0.567397,C
-0.472748,-1.240257,-0.740676,0.790198,G
-0.007552,-0.671153,1.040082,0.732534,K
-0.506936,0.562360,-1.817085,-0.162767,N
0.891144,-0.880612,-0.704260,-0.703975,X
-1.171528,-1.165942,0.290863,-0.576563,L
0.284428,-0.310984,0.855645,-1.606553,H
0.968179,1.013697,-0.039884,0.141671,K
1.140134,0.276578,0.765573,0.384767,B
0.261940,-0.351367,0.374940,-1.948799,U
-0.002594,-0.570958,0.838350,0.784013,U
1.487064,-0.907390,-0.052032,1.067225,C
0.141991,0.710073,-0.483517,0.333982,Y
0.774473,0.221433,-1.557930,-0.780430,Y
-0.284088,1.585257,1.075168,-1.243325,U
0.858749,-1.860260,-1.655471,-0.332634,N
0.284331,1.178129,0.767888,-0.572727,J
-0.349181,-0.713936,-0.071972,0.125583,D
-1.414681,-0.302148,-0.000654,-0.369034,Q
0.165493,1.096574,-0.946971,-2.432855,I
0.456336,-0.460645,-0.252601,-0.190254,J
1.754461,1.020804,0.376079,0.312109,R
-0.491038,-0.928367,0.238222,0.198556,S
-0.413638,1.217546,-0.910741,0.122586,P
0.090437,1.074865,-1.459747,-1.633885,H
0.145726,0.437412,1.325371,0.020078,U
-0.256891,-1.418954,-0.849959,1.045720,X
-1.171332,-0.683547,-1.447816,0.321717,M
